geo_aggregation_level,from,to,weight
1,237130,238210,0.36887921653971706
1,237210,238210,0.264417845484222
1,237310,238210,0.36363636363636365
1,237990,238210,0.36152219873150104
1,238110,238210,0.38946528332003194
1,238120,238210,0.2992383025027203
1,238130,238210,0.37758433079434167
1,238140,238210,0.36608863198458574
1,238150,238210,0.28291621327529926
1,238160,238210,0.3928182807399347
1,238170,238210,0.35081967213114756
1,238190,238210,0.398422090729783
1,111000,238220,0.2823170731707317
1,112000,238220,0.27647058823529413
1,113310,238220,0.29992684711046086
1,114210,238220,0.3264094955489614
1,115112,238220,0.27997227997227997
1,115115,238220,0.27055555555555555
1,115210,238220,0.31425015556938396
1,115310,238220,0.26112759643916916
1,212321,238220,0.2987141444114738
1,221122,238220,0.3142664872139973
1,221310,238220,0.34626300851466413
1,236115,238220,0.3949742268041237
1,236117,238220,0.45103857566765576
1,236118,238220,0.3968705547652916
1,236220,238220,0.36795252225519287
1,237110,238220,0.396798652064027
1,237130,238220,0.35311572700296734
1,237210,238220,0.26607319485657766
1,237310,238220,0.3837784371909001
1,237990,238220,0.34718100890207715
1,238110,238220,0.4229848363926576
1,238120,238220,0.3056379821958457
1,238130,238220,0.3857566765578635
1,238140,238220,0.4421965317919075
1,238150,238220,0.3313550939663699
1,238160,238220,0.3897131552917903
1,238170,238220,0.4377049180327869
1,238190,238220,0.4072978303747535
1,238210,238220,0.4886251236399604
1,111000,238290,0.2554878048780488
1,112000,238290,0.24705882352941178
1,114210,238290,0.2551440329218107
1,115112,238290,0.24601524601524602
1,115115,238290,0.25666666666666665
1,115210,238290,0.25140012445550713
1,212312,238290,0.24224343675417662
1,212321,238290,0.27925840092699883
1,221122,238290,0.26244952893674295
1,221310,238290,0.24408703878902555
1,236115,238290,0.25579896907216493
1,236117,238290,0.29123173277661796
1,236118,238290,0.24679943100995733
1,236210,238290,0.2494033412887828
1,236220,238290,0.31891891891891894
1,237110,238290,0.2889637742207245
1,237130,238290,0.30033745781777277
1,237310,238290,0.31616161616161614
1,237990,238290,0.2832980972515856
1,238110,238290,0.29768555466879487
1,238120,238290,0.2732696897374702
1,238130,238290,0.2841409691629956
1,238140,238290,0.28709055876685935
1,238150,238290,0.25178997613365156
1,238160,238290,0.31026252983293556
1,238170,238290,0.2860655737704918
1,238190,238290,0.3027613412228797
1,238210,238290,0.35364526659412404
1,238220,238290,0.35509396636993074
1,113310,238310,0.24871982443306512
1,114210,238310,0.257201646090535
1,115112,238310,0.24601524601524602
1,115210,238310,0.2594897324206596
1,115310,238310,0.24888888888888888
1,212321,238310,0.30243337195828507
1,221122,238310,0.24293405114401076
1,221310,238310,0.25260170293282874
1,236115,238310,0.3234536082474227
1,236117,238310,0.3267223382045929
1,236118,238310,0.32503556187766713
1,236220,238310,0.29945945945945945
1,237110,238310,0.2847514743049705
1,237130,238310,0.2755905511811024
1,237210,238310,0.2897196261682243
1,237310,238310,0.2767676767676768
1,237990,238310,0.28118393234672306
1,238110,238310,0.34477254588986433
1,238120,238310,0.2857142857142857
1,238130,238310,0.3777533039647577
1,238140,238310,0.37090558766859344
1,238150,238310,0.28437917222963954
1,238160,238310,0.3862815884476534
1,238170,238310,0.31311475409836065
1,238190,238310,0.2988165680473373
1,238210,238310,0.3558215451577802
1,238220,238310,0.3600395647873393
1,238290,238310,0.2613365155131265
1,111000,238320,0.31585365853658537
1,112000,238320,0.2911764705882353
1,113110,238320,0.25120307988450435
1,113310,238320,0.37088514996342353
1,114210,238320,0.31953801732435033
1,115112,238320,0.30214830214830213
1,115115,238320,0.3022222222222222
1,115210,238320,0.35780958307405103
1,115310,238320,0.3320500481231954
1,212321,238320,0.3156881616939365
1,221122,238320,0.32570659488559894
1,221310,238320,0.3424787133396405
1,236115,238320,0.43878865979381443
1,236117,238320,0.43118383060635224
1,236118,238320,0.48150782361308675
1,236220,238320,0.32435033686236764
1,237110,238320,0.37068239258635216
1,237130,238320,0.2791145332050048
1,237210,238320,0.27045235803657364
1,237310,238320,0.34648700673724736
1,237990,238320,0.3455245428296439
1,238110,238320,0.41819632881085395
1,238120,238320,0.2521655437921078
1,238130,238320,0.4408084696823869
1,238140,238320,0.49470644850818096
1,238150,238320,0.2791145332050048
1,238160,238320,0.3849855630413859
1,238170,238320,0.4344262295081967
1,238190,238320,0.37921077959576516
1,238210,238320,0.4061597690086622
1,238220,238320,0.45332050048123196
1,238290,238320,0.28103946102021177
1,238310,238320,0.3801732435033686
1,111000,238330,0.32926829268292684
1,112000,238330,0.32
1,113110,238330,0.24667931688804554
1,113310,238330,0.3694220921726408
1,114210,238330,0.29506641366223907
1,115112,238330,0.32085932085932084
1,115115,238330,0.32
1,115210,238330,0.36963285625388925
1,115310,238330,0.29411764705882354
1,212321,238330,0.29791271347248577
1,221122,238330,0.32368775235531627
1,221310,238330,0.3339640491958373
1,236115,238330,0.43621134020618557
1,236117,238330,0.4364326375711575
1,236118,238330,0.4701280227596017
1,236220,238330,0.3092979127134725
1,237110,238330,0.36647009267059816
1,237130,238330,0.3216318785578748
1,237210,238330,0.25521821631878555
1,237310,238330,0.3415559772296015
1,237990,238330,0.32827324478178366
1,238110,238330,0.42537909018355946
1,238120,238330,0.25521821631878555
1,238130,238330,0.4146110056925996
1,238140,238330,0.47248576850094876
1,238150,238330,0.2618595825426945
1,238160,238330,0.36622390891840606
1,238170,238330,0.45737704918032784
1,238190,238330,0.38519924098671726
1,238210,238330,0.3899430740037951
1,238220,238330,0.4620493358633776
1,238290,238330,0.2685009487666034
1,238310,238330,0.34724857685009486
1,238320,238330,0.5075901328273245
1,113110,238340,0.2543859649122807
1,114210,238340,0.24382716049382716
